TIEMPO_EMPRESA,ANALFABETISMO,EDUCACION,GENERO,EDAD,SINDICADO,SEGUNDO_TRABAJO,HORAS_REMUNERADAS,HORAS_NO_REMUNERADAS,EXPERIENCIA,ln_INGRESOS,ING_H,ln_ING_H,INDIGENA,AFRO
14,0,14,1,48,0,0,48,20,28,13.997832114758229,6250,8.740336742730447,0,0
19,0,13,0,46,0,0,48,0,27,13.71957878501095,4731.90625,8.46208341298317,0,0
4,0,11,0,43,0,0,50,0,26,14.508657738524219,10000,9.210340371976184,0,0
2,0,13,1,22,0,0,50,0,3,13.71957878501095,4542.63,8.421261418462914,0,0
8,0,11,0,51,0,0,60,30,34,14.22097566607244,6250,8.740336742730447,0,0
6,0,11,1,44,0,0,60,30,27,13.71957878501095,3785.525,8.238939861668959,0,0
0.5,0,11,1,44,0,0,48,16,27,13.71957878501095,4731.90625,8.46208341298317,0,0
0.16666666666666666,0,11,0,24,0,0,48,0,7,13.71957878501095,4731.90625,8.46208341298317,0,0
2,0,13,0,20,0,0,48,5,1,13.815510557964274,5208.333333333333,8.558015185936492,0,0
0.3333333333333333,0,15,1,20,0,0,48,14,-1,13.42984807715229,3541.6666666666665,8.172352705124508,0,0
0.75,0,11,0,28,0,0,4,2,11,12.206072645530174,12500,9.433483923290392,0,0
1,0,4,0,47,0,0,48,14,37,13.71957878501095,4731.90625,8.46208341298317,0,0
0.08333333333333333,0,7,1,19,0,0,12,94,6,11.695247021764184,2500,7.824046010856292,0,0
0.16666666666666666,0,8,0,21,0,0,24,73,7,12.676076274775909,3333.3333333333335,8.111728083308073,0,0
0.08333333333333333,0,9,0,41,0,0,48,7,26,13.71957878501095,4731.90625,8.46208341298317,0,0
18,0,13,1,37,0,0,48,38,18,14.580978400103845,11197.916666666666,9.323483028076064,0,0
1,0,11,0,20,0,0,60,20,3,13.710150042306449,3750,8.229511118964457,0,0
0.08333333333333333,0,11,1,30,0,0,60,20,13,12.611537753638338,1250,7.1308988302963465,0,0
1.5,0,2,1,60,0,0,40,20,52,12.206072645530174,1250,7.1308988302963465,0,0
4,0,5,0,22,0,0,48,20,11,13.71957878501095,4731.90625,8.46208341298317,0,0
2,0,11,0,23,0,0,48,10,6,13.71957878501095,4731.90625,8.46208341298317,0,0
0.8333333333333334,0,13,1,37,0,0,52,4,18,13.71957878501095,4367.913461538462,8.382040705309633,0,0
2.5,0,14,1,31,0,0,64,10,11,14.22097566607244,5859.375,8.675798221592876,0,0
1,0,13,1,54,0,0,12,16,35,12.676076274775909,6666.666666666667,8.804875263868018,0,0
1,0,16,0,31,0,0,56,0,9,13.9108207377686,4910.714285714285,8.499174685913559,0,0
0.5,0,11,0,23,0,0,48,0,6,13.815510557964274,5208.333333333333,8.558015185936492,0,0
30,0,2,0,49,0,0,48,0,41,13.997832114758229,6250,8.740336742730447,0,1
10,0,6,0,39,0,0,14,0,27,11.918390573078392,2678.5714285714284,7.893038882343244,0,0
0.08333333333333333,0,11,1,45,0,0,56,18,28,11.695247021764184,535.7142857142857,6.283600969909143,0,0
0.75,0,11,1,28,0,0,48,0,11,13.71957878501095,4731.90625,8.46208341298317,0,0
0.4166666666666667,0,13,1,23,0,0,24,4,4,13.592367006650065,8333.333333333334,9.028018815182229,0,0
1,0,11,1,40,0,0,60,18,23,13.773151966817208,3993.858333333333,8.292513043475216,0,0
0.3333333333333333,0,12,1,26,0,0,50,9,8,13.71957878501095,4542.63,8.421261418462914,0,0
2,0,5,0,42,0,0,60,7,31,13.9108207377686,4583.333333333333,8.430181814426607,0,0
0.08333333333333333,0,11,0,27,0,0,40,10,10,13.997832114758229,7500,8.922658299524402,0,0
0.5,0,11,1,31,0,0,48,10,14,13.815510557964274,5208.333333333333,8.558015185936492,0,0
0.16666666666666666,0,11,1,48,0,0,30,20,31,12.89921982609012,3333.3333333333335,8.111728083308073,0,0
0.08333333333333333,0,11,0,21,0,0,50,0,4,13.710150042306449,4500,8.411832675758411,0,0
0.3333333333333333,0,11,1,31,0,1,62,5,14,12.84792653170257,1532.258064516129,7.334497785537586,0,0
0.8333333333333334,0,2,1,55,0,0,40,14,47,11.918390573078392,937.5,6.843216757844566,0,0
25,0,9,1,50,0,0,50,10,35,13.815510557964274,5000,8.517193191416238,0,0
5,0,11,0,29,0,0,48,1,12,13.71957878501095,4731.90625,8.46208341298317,0,0
3,0,14,1,26,0,0,48,50,6,13.815510557964274,5208.333333333333,8.558015185936492,0,0
0.75,0,11,1,27,0,0,48,34,10,13.71899965758343,4729.166666666667,8.461504285555648,0,0
3,0,13,0,28,0,0,48,22,9,13.815510557964274,5208.333333333333,8.558015185936492,0,0
15,0,5,0,39,0,0,48,0,28,13.458835614025542,3645.8333333333335,8.20134024199776,0,0
4,0,11,1,35,0,1,68,14,18,14.457364444136669,6985.294117647059,8.851562377840672,0,0
14.166666666666666,0,12,0,43,0,0,48,0,25,13.815510557964274,5208.333333333333,8.558015185936492,0,0
5,1,0,1,41,0,0,20,16,35,11.512925464970229,1250,7.1308988302963465,0,0
0.3333333333333333,0,13,1,22,0,0,48,18,3,13.815510557964274,5208.333333333333,8.558015185936492,0,0
0.16666666666666666,1,0,0,20,0,0,48,0,14,13.815510557964274,5208.333333333333,8.558015185936492,0,0
14.166666666666666,0,13,1,42,0,0,48,46,23,13.815510557964274,5208.333333333333,8.558015185936492,0,0
10,0,8,0,38,0,0,24,0,24,13.458835614025542,7291.666666666667,8.894487422557706,0,0
2,0,5,0,21,0,0,24,22,10,13.458835614025542,7291.666666666667,8.894487422557706,0,0
3,0,13,1,31,0,0,48,10,12,13.71899965758343,4729.166666666667,8.461504285555648,0,0
0.25,0,13,1,26,0,0,48,28,7,13.843125724997247,5354.166666666667,8.585630352969465,0,0
0.16666666666666666,0,11,0,32,0,0,48,10,15,13.71899965758343,4729.166666666667,8.461504285555648,0,0
5.833333333333333,0,5,1,54,0,0,24,48,43,12.429216196844383,2604.1666666666665,7.864868005376548,0,0
0.08333333333333333,0,12,1,19,0,0,48,12,1,13.815510557964274,5208.333333333333,8.558015185936492,0,0
0.08333333333333333,0,10,0,56,0,0,48,0,40,13.71899965758343,4729.166666666667,8.461504285555648,0,1
2,0,11,0,22,0,0,20,14,5,11.512925464970229,1250,7.1308988302963465,0,1
0.75,0,11,1,33,0,0,48,35,16,13.843637267288928,5356.90625,8.586141895261147,0,0
15,0,11,0,36,0,0,48,28,19,14.01436141670944,6354.166666666667,8.756866044681658,0,0
1,0,13,0,29,0,0,54,2,10,13.71957878501095,4206.138888888889,8.344300377326785,0,0
5,0,12,0,26,0,0,48,7,8,13.71957878501095,4731.90625,8.46208341298317,0,0
0.25,0,11,0,24,0,0,55,7,7,14.28551418721001,7272.727272727273,8.891886640857647,0,0
1.1666666666666667,0,16,0,26,0,0,48,5,4,14.845129975145433,14583.333333333334,9.587634603117651,0,0
12,0,11,0,35,0,0,58,0,18,14.151982794585487,6034.482758620689,8.705245422919177,0,0
0.08333333333333333,0,7,0,48,0,0,48,0,35,13.71957878501095,4731.90625,8.46208341298317,0,0
3.5,0,16,0,55,0,0,60,21,33,15.665488934066262,26498.675,10.184850010724272,0,0
0.5833333333333334,0,16,1,24,0,0,30,14,2,14.412725965570894,15142.1,9.62523422278885,0,0
7,0,11,1,48,0,0,72,7,31,14.077874822431765,4513.888888888889,8.41491434229582,0,0
0.5,0,6,0,47,0,0,60,4,35,13.122363377404328,2083.3333333333335,7.641724454062338,0,0
0.9166666666666666,0,15,1,28,0,0,78,21,7,13.997832114758229,3846.153846153846,8.254828926948747,0,0
1,0,7,0,48,0,0,48,12,35,13.997832114758229,6250,8.740336742730447,0,0
15,0,5,0,54,0,0,48,3,43,13.997832114758229,6250,8.740336742730447,0,0
0.5,0,11,1,44,0,0,49,237,27,13.42984807715229,3469.387755102041,8.151733417921772,0,0
0.08333333333333333,0,11,1,23,1,0,24,14,6,13.017002861746503,4687.5,8.452654670278667,0,0
0.25,0,11,0,29,0,0,16,1,12,14.077874822431765,20312.5,9.918991739072093,0,0
1,0,5,1,56,0,0,8,14,45,13.217673557208654,17187.5,9.751937654408927,0,0
10,0,7,0,58,0,0,66,3,45,13.71957878501095,3441.3863636363635,8.143629681864633,0,0
0,0,5,1,56,0,1,22,10,45,12.542544882151386,3181.818181818182,8.065208067673181,0,0
3,0,14,1,26,0,0,56,8,6,13.71957878501095,4055.9196428571427,8.30793273315591,0,0
1,0,12,1,45,0,0,48,14,27,13.71957878501095,4731.90625,8.46208341298317,0,0
3,0,10,0,26,0,0,40,7,10,13.458835614025542,4375,8.383661798791715,0,0
2.5,0,12,1,30,0,0,40,34,12,15.068273526459642,21875,9.993099711225815,0,0
0.16666666666666666,0,12,1,24,0,0,48,4,6,13.997832114758229,6250,8.740336742730447,0,0
2.5,0,11,0,22,0,0,48,0,5,14.151982794585487,7291.666666666667,8.894487422557706,0,1
21,0,11,0,49,0,0,48,4,32,13.71957878501095,4731.90625,8.46208341298317,0,0
0.5,0,15,0,29,0,0,35,2,8,15.250595083253597,30000,10.308952660644293,0,0
0.5,0,11,1,23,1,0,40,28,6,13.710150042306449,5625,8.63497622707262,0,0
18,0,11,1,63,0,0,56,21,46,13.815510557964274,4464.285714285715,8.403864506109235,0,1
3,0,5,1,63,0,0,70,21,52,13.710150042306449,3214.285714285714,8.075360439137198,0,0
12,0,3,0,53,0,0,72,0,44,13.815510557964274,3472.222222222222,8.152550077828328,0,0
0.08333333333333333,0,9,1,25,0,0,20,42,10,13.418013619505286,8400,9.035986984831405,0,0
0.75,0,18,0,60,0,0,48,0,36,14.808762330974558,14062.5,9.551266958946776,0,0
8,1,0,0,49,0,0,50,20,43,13.710150042306449,4500,8.411832675758411,0,0
2,0,5,0,49,0,0,16,0,38,14.22097566607244,23437.5,10.062092582712767,0,0
0.25,0,11,1,20,0,0,48,0,3,13.71957878501095,4731.90625,8.46208341298317,0,0
2,0,11,0,53,0,0,20,0,36,12.429216196844383,3125,8.047189562170502,0,0
2,0,13,0,29,0,0,48,20,10,13.458835614025542,3645.8333333333335,8.20134024199776,0,0
20,0,5,1,63,0,0,66,12,52,13.304684934198283,2272.7272727272725,7.728735831051967,0,0
0.5,0,6,0,39,0,0,48,18,27,14.03062193758122,6458.333333333333,8.773126565553438,0,0
0.16666666666666666,0,11,1,44,0,0,48,30,27,13.71957878501095,4731.90625,8.46208341298317,0,0
10,0,5,0,37,0,0,50,8,26,14.077874822431765,6500,8.779557455883728,0,0
2,0,11,0,38,0,0,60,11,21,13.122363377404328,2083.3333333333335,7.641724454062338,0,0
1,0,11,1,34,0,0,16,35,17,12.89921982609012,6250,8.740336742730447,0,0
2,0,11,1,22,0,1,36,50,5,14.498607402670718,13750,9.528794103094718,0,0
2,0,11,0,34,0,0,60,5,17,14.22097566607244,6250,8.740336742730447,0,0
15,0,7,0,50,0,0,48,10,37,13.872387932316325,5513.15625,8.614892560288544,0,0
2.5,0,3,1,77,0,0,48,20,68,13.892471599100402,5625,8.63497622707262,0,0
0.25,0,6,1,28,0,0,48,24,16,13.71957878501095,4731.90625,8.46208341298317,0,0
2,0,21,0,33,0,0,72,5,6,14.73180128983843,8680.555555555555,9.068840809702483,0,0
5,0,8,1,54,0,0,45,25,40,13.815510557964274,5555.555555555556,8.622553707074063,0,0
1,0,16,1,31,0,0,5,60,9,12.206072645530174,10000,9.210340371976184,0,0
6,0,13,0,28,0,0,48,0,9,13.71957878501095,4731.90625,8.46208341298317,0,0
6,0,11,0,39,0,1,72,14,22,14.845129975145433,9722.222222222223,9.182169495009486,0,0
6,0,11,1,31,0,1,70,42,14,13.997832114758229,4285.714285714285,8.36304251158898,0,0
10,0,11,0,61,0,0,48,0,44,13.849911984681606,5390.625,8.592416612653825,0,0
30,0,13,1,56,0,1,28,22,37,13.16158409055761,4642.857142857143,8.443085219262516,0,0
3,0,17,0,33,0,0,40,14,10,15.319587954740548,28125,10.244414139506722,0,0
11,0,15,1,31,0,0,42,5,10,13.71957878501095,5407.892857142857,8.59561480560769,0,0
0.08333333333333333,0,12,0,30,0,0,48,7,12,13.71957878501095,4731.90625,8.46208341298317,0,0
0.5,0,11,1,53,0,0,9,72,36,11.695247021764184,3333.3333333333335,8.111728083308073,0,0
4,0,18,1,38,1,0,45,25,14,14.603967918328545,12222.222222222223,9.411011067438334,0,0
33.333333333333336,0,11,0,56,0,0,50,6,39,13.815510557964274,5000,8.517193191416238,0,0
1.5,0,11,0,17,0,0,24,15,0,13.017002861746503,4687.5,8.452654670278667,0,0
0.5,0,5,1,55,0,0,40,30,44,13.592367006650065,5000,8.517193191416238,0,0
5,0,13,0,27,0,0,72,22,8,14.052951413979308,4402.777777777777,8.389990933843363,0,0
1.5,0,16,1,33,0,0,30,51,11,11.512925464970229,833.3333333333334,6.725433722188183,0,0
0.3333333333333333,0,11,0,30,0,0,48,0,13,13.815510557964274,5208.333333333333,8.558015185936492,0,0
2,0,7,1,47,0,1,60,10,34,13.82400041690675,4202.191666666667,8.343361493564759,0,0
1.5,0,11,1,24,0,0,20,20,7,13.217673557208654,6875,8.835646922534773,0,0
0.4166666666666667,0,10,0,30,0,0,48,12,14,13.815510557964274,5208.333333333333,8.558015185936492,0,0
2.25,0,13,0,23,0,0,48,0,4,13.71957878501095,4731.90625,8.46208341298317,0,0
1,0,11,1,36,0,0,48,20,19,13.71957878501095,4731.90625,8.46208341298317,0,1
0.3333333333333333,0,10,0,17,0,0,40,0,1,13.815510557964274,6250,8.740336742730447,0,0
9,0,7,0,45,0,0,48,0,32,13.883169206438088,5572.916666666667,8.625673834410307,0,0
4.666666666666667,0,11,1,38,0,0,48,9,21,13.883169206438088,5572.916666666667,8.625673834410307,0,0
2,0,13,1,20,0,0,48,1,1,14.508657738524219,10416.666666666666,9.251162366496438,0,0
1,0,11,0,28,0,0,50,0,11,13.955272500339433,5750,8.656955133791396,0,0
2,0,7,0,59,0,0,56,0,46,13.71957878501095,4055.9196428571427,8.30793273315591,0,0
0.8333333333333334,0,8,1,56,0,0,16,10,42,12.89921982609012,6250,8.740336742730447,0,0
0.16666666666666666,0,7,1,38,0,0,20,19,25,13.122363377404328,6250,8.740336742730447,0,0
23.5,0,11,0,47,0,0,48,6,30,14.00491199316814,6294.40625,8.747416621140358,0,0
18,0,14,1,41,0,0,60,21,21,14.28551418721001,6666.666666666667,8.804875263868018,0,0
