"","ID","POBREZA","ANALFABETISMO","ETNIA","EDUCACION","GENERO","QUEHACERES_TIEMPO","AUTOCONSTRUCCION_TIEMPO","ROPA_TIEMPO","ANCIANOS_TIEMPO","NINYOS_TIEMPO","QUEHACERES_FUERA_TIEMPO","ANIMALES_TIEMPO","INGRESOS","EXTRAS_TIEMPO","SINDICADO","CAMBIO_TRABAJO","HORAS_SEG_TRABAJO","SEGUNDO_TRABAJO","HORAS_PRIM_TRABAJO","CONTRATO","TERMINO_CONTRATO","MODALIDAD_CONTRATO","TIEMPO_EMPRESA","HORAS_REMUNERADAS","HORAS_NO_REMUNERADAS"
"7960",8701,1,1,6,5,2,20,0,0,0,0,0,0,180000,0,2,2,0,2,30,1,NA,1,24,30,20
"7961",8703,NA,1,6,11,1,6,0,0,0,0,0,0,6e+05,0,2,2,0,2,60,1,2,2,5,60,6
"7962",8704,1,1,6,5,1,10,0,0,0,10,0,0,908526,0,2,2,0,2,40,1,NA,1,3,40,20
"7963",8706,1,1,6,11,1,0,0,0,0,0,0,0,908526,0,2,2,0,2,84,1,NA,1,12,84,0
"7964",8708,NA,1,6,11,2,12,0,0,0,12,0,0,1500000,0,2,2,0,2,32,1,NA,1,12,32,24
"7965",8710,1,1,6,11,2,20,0,0,0,0,0,0,232000,0,2,2,0,2,8,1,NA,1,36,8,20
"7966",8711,NA,1,6,9,1,10,0,0,0,0,0,0,180000,0,2,2,0,2,16,2,NA,NA,24,16,10
"7967",8712,NA,1,6,11,1,8,0,0,0,0,0,0,1350000,10,2,2,0,2,58,1,2,2,3,68,8
"7968",8713,NA,1,6,11,2,5,0,0,0,0,0,0,908526,0,2,2,0,2,48,1,NA,1,1,48,5
"7969",8714,1,1,6,11,2,10,0,0,0,0,0,0,1400000,0,2,2,0,2,48,1,1,2,48,48,10
"7970",8715,2,1,6,11,1,0,0,0,0,0,0,0,1500000,0,2,2,0,2,40,2,NA,NA,24,40,0
"7971",8716,NA,1,6,11,2,15,0,0,0,10,0,0,450000,0,2,2,0,2,40,2,NA,NA,24,40,25
"7972",8718,2,1,6,11,2,18,0,0,0,18,0,0,908526,0,2,2,0,2,32,1,1,2,24,32,36
"7973",8719,NA,1,6,9,1,10,0,0,0,0,0,0,908526,0,2,2,0,2,48,1,1,2,2,48,10
"7974",8723,NA,1,6,11,2,0,0,0,0,0,0,0,908600,0,2,2,0,2,58,1,NA,1,200,58,0
"7975",8724,2,1,6,2,2,10,0,0,0,0,0,0,908600,0,2,2,0,2,48,1,NA,1,320,48,10
"7976",8725,NA,1,6,11,1,0,0,0,0,0,0,0,908600,0,2,2,0,2,48,1,1,2,3,48,0
"7977",8726,NA,1,6,13,2,7,0,0,0,0,0,0,908600,0,2,2,0,2,48,1,1,2,6,48,7
"7978",8727,1,1,6,11,1,0,0,0,0,0,0,0,1100000,0,2,2,0,2,48,1,2,2,24,48,0
"7979",8731,1,1,6,9,1,0,0,0,0,0,0,0,1e+06,0,2,2,0,2,48,2,NA,NA,180,48,0
"7980",8732,NA,1,6,7,2,16,0,0,0,0,0,0,6e+05,0,2,2,0,2,30,2,NA,NA,148,30,16
"7981",8733,NA,1,6,11,2,4,0,0,0,0,0,0,9e+05,0,2,1,0,2,40,1,NA,1,24,40,4
"7982",8734,NA,1,6,11,1,7,0,0,0,0,0,0,1e+06,0,2,2,0,2,40,1,2,2,84,40,7
"7983",8735,NA,1,6,11,1,4,0,0,0,0,0,0,8e+05,0,2,2,0,2,48,2,NA,NA,1,48,4
"7984",8736,NA,1,6,11,2,18,0,0,0,20,0,0,908526,0,2,2,0,2,40,1,1,2,96,40,38
"7985",8737,2,1,5,14,2,15,0,0,0,20,0,0,1200000,0,2,2,0,2,40,1,1,2,60,40,35
"7986",8738,1,1,6,6,1,0,0,0,0,0,0,0,9e+05,0,2,2,0,2,48,2,NA,NA,240,48,0
"7987",8739,NA,1,6,9,2,40,0,0,0,0,0,0,50000,0,2,2,0,2,20,2,NA,NA,12,20,40
"7988",8740,1,1,6,11,2,28,0,0,0,0,0,0,6e+05,0,2,2,0,2,24,2,NA,NA,288,24,28
"7989",8741,NA,1,6,5,1,10,0,0,0,0,0,0,5e+05,0,2,1,0,2,24,2,NA,NA,300,24,10
"7990",8742,NA,1,6,9,1,6,0,0,0,0,0,0,480000,0,2,1,0,2,40,2,NA,NA,2,40,6
"7991",8743,1,1,6,5,1,10,0,0,0,0,0,0,4e+05,0,2,1,0,2,24,2,NA,NA,18,24,10
"7992",8744,NA,1,6,6,1,10,0,0,0,0,0,0,4e+05,0,2,1,0,2,24,2,NA,NA,18,24,10
"7993",8745,1,1,6,11,1,7,0,0,0,0,0,0,6e+05,0,2,1,0,2,48,2,NA,NA,36,48,7
"7994",8746,NA,1,6,9,2,0,0,0,0,0,0,0,50000,0,2,2,0,2,36,2,NA,NA,60,36,0
"7995",8747,NA,1,6,7,1,0,0,0,0,0,0,0,750000,0,2,2,0,2,40,2,NA,NA,36,40,0
"7996",8748,NA,1,6,11,1,4,0,0,0,7,0,0,450000,0,2,1,0,2,0,2,NA,NA,12,0,11
"7997",8749,2,1,6,13,1,6,0,0,0,6,0,0,1650000,0,2,2,0,2,40,1,2,2,72,40,12
"7998",8750,NA,1,5,13,2,20,0,0,0,20,0,0,4e+05,0,2,1,0,2,0,2,NA,NA,48,0,40
"7999",8751,2,1,6,11,1,0,0,0,0,0,0,0,750000,0,2,2,0,2,40,2,NA,NA,264,40,0
"8000",8752,NA,1,6,11,2,20,0,0,0,20,0,0,5e+05,0,2,2,0,2,40,2,NA,NA,7,40,40
"8001",8754,1,1,5,11,1,10,0,0,0,10,0,0,750000,0,2,1,0,2,40,1,NA,1,8,40,20
"8002",8755,NA,1,5,13,2,10,0,0,0,20,0,0,1200000,0,2,2,0,2,40,1,1,2,1,40,30
"8003",8756,1,1,6,10,1,0,0,0,0,0,0,0,8e+05,0,2,2,0,2,40,2,NA,NA,24,40,0
"8004",8757,NA,1,6,16,2,20,0,0,0,0,0,0,1014980,0,2,2,0,2,48,1,2,2,6,48,20
"8005",8758,NA,1,6,11,1,0,0,0,0,10,0,0,9e+05,0,2,2,0,2,48,2,NA,NA,12,48,10
"8006",8759,NA,1,6,13,1,0,0,0,0,0,0,0,7e+05,0,2,1,0,2,48,2,NA,NA,24,48,0
"8007",8760,NA,1,6,9,1,10,0,0,0,0,0,0,1e+06,0,2,2,0,2,48,2,NA,NA,24,48,10
"8008",8761,NA,1,6,3,2,20,0,0,0,10,0,0,5e+05,0,2,2,0,2,48,2,NA,NA,240,48,30
"8009",8762,2,1,6,5,1,15,0,0,0,0,0,0,750000,0,2,2,0,2,48,2,NA,NA,300,48,15
"8010",8763,1,1,6,13,1,0,0,0,0,0,0,0,1400000,0,2,2,0,2,48,1,1,2,18,48,0
"8011",8764,1,1,6,11,1,8,0,0,0,0,0,0,7e+05,0,2,1,0,2,40,2,NA,NA,144,40,8
