fecha,ExpPetrol
Dec-20,796580
Jan-21,930475
Feb-21,807209
Mar-21,1134622
Apr-21,862301
May-21,1214109
Jun-21,1142476
Jul-21,998031
Aug-21,1028790
Sep-21,1274603
Oct-21,1292227
Nov-21,1423127
Dec-21,1406441
Jan-22,1268496
Feb-22,1427538
Mar-22,2009095
Apr-22,1952120
May-22,1858823
Jun-22,1761747
Jul-22,1839726
Aug-22,1623318
Sep-22,1344261
Oct-22,1214259
Nov-22,1453710
Dec-22,1320135
Jan-23,1025699
Feb-23,1264636
