gender	hand	eyecolor	glasses	california	birthmonth	birthday	birthyear	ageinmonths	height	graduate	oncampus	time	walk	hsclass	HSCA	calculus	AP	cell	ipod	sleep	alcohol	speed	UCLA	book	relax	instructor	tire	Quarter
female	right	brown	yes	yes	dec	5	1987	249	68	2010	yes	20	walk	950	yes	yes	no	yes	yes	8	0	75	15000	yes	playing sports	Gould	rear right	Fall08
female	right	brown	yes	yes	mar	17	1987	258	68	2009	no	30	walk	61	yes	no	no	yes	yes	5	7	105		no	running	Davis	front right	Fall08
female	right	brown	yes	yes	may	29	1988	256	65	2010	yes	20	walk	700	yes	no	no	yes	yes	4	0	90	4000	yes	Painting	Gould	front left	Fall08
female	right	gray	no	yes	nov	10	1988	238	66	2011	yes	20	walk	100	yes	no	yes	yes	yes	8			20000	yes	watching sports	Davis	front left	Fall08
female	right	brown	yes	yes	mar	8	1990	222	62	2012	yes	20	walk	780	yes	yes	yes	yes	yes	8	0	80	30000	yes	watching tv	Davis	front left	Fall08
female	right	blue	yes	yes	mar	10	1990	222	64	2012	yes	30	walk	98	yes	yes	no	yes	yes	6	0	80	22000	yes	ballroom dancing	Gould	front right	Fall08
female	right	green	no	yes	sept	27	1990	216	67	2012	yes	20	walk	198	yes	yes	no	yes	yes	8	0	110	40000	yes	exercise	Davis	front left	Fall08
female	right	hazel	no	yes	aug	11	1989	229	62	2011	yes	20	walk	84	yes	yes	no	yes	yes	6	4	35		yes	smoking cigarettes	Esfandiari	front right	Fall08
female	right	brown	no	yes	june	27	1990	219	61	2012	yes	25	walk	530	yes	no	no	yes	yes	8	0	70	23000	no	watching tv	Davis	front left	Fall08
female	right	brown	yes	yes	feb	27	1989	235	64	2011	yes	15	walk	84	yes	yes	no	yes	yes	6.5	0	85	30000	yes	drawing and coloring	Davis	front left	Fall08
male	right	brown	no	yes	april	4	1989	233	70	2011	no	20	walk	866	yes	yes	no	yes	yes	6.5	0	90	17000	yes	listening to music	Davis	front right	Fall08
female	right	brown	yes	yes	april	23	1989	233	66	2011	yes	20	walk	600	yes	no	no	yes	yes	7	3	80	25000	yes	dancing	Davis	front left	Fall08
female	right	green	no	yes	april	30	1989	233	64	2011	yes	30	walk	600	yes	no	no	yes	yes	7	0	0	3500	yes	tennis	Davis	front left	Fall08
female	right	brown	yes	no	april	22	1988	245	66	2010	no	30	walk	-	no	yes	no	yes	yes	8	0		12000	yes	watching movie	Esfandiari	front right	Fall08
female	right	brown	yes	no	mar	11	1989	234	62	2011	no	90	bus		yes	yes	no	yes	yes	6	0			yes	photography	Esfandiari	front right	Fall08
female	right	brown	yes	yes	sept	22	1989	228	62	2011	yes	10	walk	800	yes	yes	no	yes	yes	7	0	80	33000	yes	play music	Davis	rear right	Fall08
male	right	brown	yes	yes	aug	16	1988	241	70	2010	no	15	walk	400	yes	yes	no	yes	yes	6	0	80	20000	yes	video games	Davis	front right	Fall08
female	right	brown	no	yes	june	30	1989	231	62	2011	yes	15	walk	210	yes	yes	no	yes	yes	6	0	70	18000	yes	basketball	Davis	front left	Fall08
male	right	brown	yes	yes	aug	29	1989	229	70	2011	yes	15	walk	100	yes	yes	no	yes	yes	7	10	70	25000	no	basketball	Davis	front right	Fall08
female	right	brown	no	yes	nov	11	1989	226	64	2011	yes	15	walk	800	yes	yes	yes	yes	yes	6	0	95	10000	yes	Sailing	Davis	rear right	Fall08
female	right	brown	yes	yes	june	6	1988	243	61	2010	no	30	walk	340	yes	yes	no	yes	yes	6	1	40		yes	dancing	Gould	rear left	Fall08
female	right	blue	yes	yes	feb	8	1989	235	62	2012	yes	15	walk	460	yes	yes	no	yes	yes	5	0	75	30000	yes	tennis	Davis	rear left	Fall08
female	right	brown	no	yes	mar	23	1989	234	62	2011	yes	15	walk	986	yes	yes	no	yes	no	6	0	95	30000	yes	movies	Davis	front left	Fall08
female	right	brown	yes	yes	may	15	1989	232	62	2011	yes	14	walk	419	yes	yes	no	yes	no	6	0	95	20000	yes	dance	Davis	rear right	Fall08
female	right	brown	no	no	aug	13	1987	253	62	2009	no	60	car (by yourself)	500	yes	no	no	yes	yes	5	1	90	20000	yes	Reading Poetry	Davis	front right	Fall08
female	right	hazel	no	no	feb	8	1989	235	65	2011	no	10	bicycle	600	yes	yes	no	yes	yes	8	2	100	3000	no	bike	Davis	front right	Fall08
male	right	brown	yes	yes	jan	30	1989	236	70	2011	yes	15	walk	180	yes	yes	no	yes	no	7	0	130	20000	no	Singing	Davis	front left	Fall08
male	right	brown	yes	yes	april	12	1988	245	72	2010	yes	25	walk	450	yes	yes	no	yes	yes	7	2	110	20000	yes	basketball	Davis	front left	Fall08
female	right	blue	yes	yes	jan	1	1989	236	66	2011	yes	15	walk	450	yes	yes	no	yes	yes	8	0	70	16000	yes	guitar	Davis	rear left	Fall08
female	right	brown	yes	yes	jan	20	1989	236	61	2011	yes	10	walk	800	yes	yes	no	yes	yes	8	0	70	2000	yes	biking	Davis	rear right	Fall08
female	right	brown	no	no	july	5	1988	242	62	2010	no	20	walk	300	yes	yes	no	yes	yes	7	15	80	10000	no	shopping	Davis	front left	Fall08
female	right	brown	no	yes	sept	22	1990	216	63	2012	yes	15	walk	445	yes	yes	no	yes	yes	8		80	300000	no	swimmingg	Davis	front right	Fall08
male	ambidextrous	brown	yes	yes	aug	22	1989	229	69	2011	yes	20	walk		yes	yes	yes	yes	yes	6	0	90	5000	yes	video games	Davis	rear left	Fall08
female	right	brown	yes	no	oct	28	1988	239	63	2011	yes	20	walk	700	yes	yes	yes	yes	yes	8.5	0	95	20000	yes	playing all sports	Davis	front left	Fall08
female	right	brown	yes	yes	nov	11	1987	250	64	2010	no	47	carpool	202	yes	no	no	yes	yes	5.5	0	65	32000	yes	Yoga	Davis	rear right	Fall08
male	right	brown	no	yes	sept	15	1989	228	72	2011	yes	7	bicycle	900	yes	no	no	yes	yes	7	25	90	20000	yes	surf	Davis	front right	Fall08
female	right	brown	yes	yes	nov	10	1989	226	62	2011	yes	20	walk	452	no	yes	no	yes	yes	3	0	80	18000	no	photography	Davis	rear right	Fall08
male	right	brown	yes	no	mar	13	1990	222	72	2012	yes	15	bicycle	64	no	no	no	yes	yes	7	0	40	30000	yes	basketball	Davis	front left	Fall08
female	right	brown	no	yes	aug	7	1989	229	68	2011	yes	15	walk	115	yes	no	no	yes	yes	6	0	0	2000	yes	Dance	Davis	front left	Fall08
male	right	brown	yes	no	jan	13	1988	248	67	2009	no	50	car (by yourself)	350	yes	yes	no	yes	no	2	30	135	40000	yes	soccer	Davis	rear left	Fall08
