gender	hand	eyecolor	glasses	california	birthmonth	birthday	birthyear	ageinmonths	height	graduate	oncampus	time	walk	hsclass	HSCA	calculus	AP	cell	ipod	sleep	alcohol	speed	UCLA	book	relax	instructor	tire	Quarter
male	right	brown	no	no	oct	26	1988	227	70	2010	yes	20	walk	700	yes	yes	no	yes	yes		0	119	20000	yes	Playing guitar	Gould	rear right	Spring08
male	right	brown	yes	yes	jan	14	1989	224	69	2011	yes	25	walk	600	yes	yes	no	yes	yes	8	1	120	20000	yes	Guitar	Gould	front right	Spring08
male	right	green	yes	yes	sept	9	1988	228	72	2010	yes	5	walk	650	yes	yes	yes	yes	yes	8	0	135	20000	no	Poker	Gould	rear right	Spring08
female	right	brown	yes	yes	june	30	1988	228	60	2010	yes	20	walk	750	yes	yes	no	yes	yes	7	0	75	19000	yes	Playing tennis	Gould	front left	Spring08
female	right	brown	no	yes	aug	18	1986	253	65	2008	no	150	car (by yourself)	200	yes	yes	no	yes	no	7	0	85	19000	no	tennis	Gould	rear left	Spring08
female	right	brown	no	no	may	31	1988	222	66	2010	yes	15	walk	526	yes	no	no	yes	yes	8	0	80	18800	yes	horseback riding	Gould	front right	Spring08
female	left	brown	yes	yes	aug	6	1988	229	65	2010	no	30	walk	600	yes	no	no	yes	yes	6	1	80	16000	yes	Dancing	Gould	front left	Spring08
female	right	brown	no	yes	aug	5	1988	229	65	2010	yes	30	walk	3000	yes	yes	no	yes	yes	8	0	85	16000	yes	pilates	Gould	rear left	Spring08
male	right	brown	yes	yes	may	27	1987	244	73	2009	yes	20	walk	249	yes	yes	no	yes	yes	6	4	109	15500	yes	playing tennis	Gould	front left	Spring08
female	right	brown	yes	yes	may	6	1988	232	63	2010	yes	15	walk	571	yes	yes	no	yes	yes	6	0	80	15000	no	Tennis	Gould	front right	Spring08
female	right	brown	yes	yes	jan	19	1988	236	64	2010	yes	20	walk	450	yes	no	no	yes	yes	5	0	85	15000	yes	reading	Gould	front right	Spring08
female	right	brown	yes	yes	jan	10	1988	228	61	2010	yes	15	walk	326	yes	no	no	yes	yes	9	0	90	15000	yes	dj	Gould	rear right	Spring08
male	right	brown	yes	yes	nov	18	1988	226	73	2010	yes	20	walk	350	yes	yes	no	yes	no	7	0	90	15000	yes	basketball	Gould	front left	Spring08
female	right	brown	yes	yes	feb	2	1989	224	63	2011	yes	35	walk	507	yes	yes	yes	yes	yes	9	0	95	15000	yes	tennis	Gould	front left	Spring08
male	right	brown	yes	yes	aug	22	1988	229	69	2010	yes	15	walk	57	yes	yes	no	yes	yes	6	0	110	15000	yes	Running	Gould	rear right	Spring08
female	right	brown	no	yes	june	26	1988	222	64	2010	yes	10	walk	300	yes	no	no	yes	yes	6	0	85	13000	yes	making bracelets	Gould	front right	Spring08
female	right	brown	no	yes	aug	5	1988	229	67	2010	yes	20	walk	167	yes	yes	no	yes	yes	9	0	90	12000	yes	Cooking	Gould	front right	Spring08
male	left	brown	yes	yes	aug	19	1989	217	72	2011	yes	20	walk	582	yes	yes	no	yes	yes	7	0	110	11000	yes	basketball and tennis.	Gould	front right	Spring08
male	right	brown	no	yes	dec	25	1987	237	66	2010	no	90	segway	150	yes	yes	no	yes	yes	10	0	56	10000	yes	Bicycling	Gould	front right	Spring08
female	right	brown	no	yes	oct	15	1987	239	63	2010	no	15	walk	500	yes	no	no	yes	yes	6	1	80	10000	no	Shopping	Gould	front left	Spring08
female	right	blue	yes	yes	may	8	1988	232	67	2010	yes	12	walk	750	yes	yes	no	yes	yes	7	12	85	10000	yes	SCUBA Diving	Gould	front right	Spring08
male	right	brown	yes	yes	feb	12	1988	235	72	2010	yes	15	walk	550	yes	yes	no	yes	yes	6	2	100	10000	yes	Golf	Gould	front left	Spring08
male	right	brown	no	yes	aug	25	1988	229	69	2010	yes	17	walk	15	yes	yes	no	yes	yes	7.2	0	105	10000	yes	costume design	Gould	front left	Spring08
female	right	brown	yes	no	feb	28	1986	261	61	2008	no	20	walk	600	yes	no	no	yes	yes	4	1	110	10000	no	Rowing	Gould	front right	Spring08
female	right	brown	yes	yes	oct	10	1986	252	60	2008	no	25	walk	250	yes	yes	no	yes	no	8	0	50	8000	no	Reading	Gould	front left	Spring08
female	right	brown	yes	no	dec	24	1987	237	66	2009	no	17	walk	966	yes	yes	no	yes	yes	7	0	86	7900	yes	Watching Movies	Gould	front right	Spring08
female	right	brown	yes	no	nov	14	1986	250	64	2009	no	25	walk	612	yes	yes	no	yes	yes	7	1	70	4000	yes	swimming	Gould	rear left	Spring08
female	right	hazel	no	yes	may	15	1988	276	65	2010	yes	15	walk	560	yes	yes	no	yes	yes	8	7	115	2500	yes	Soccer	Gould	front left	Spring08
male	right	brown	no	yes	jan	18	1986	252	73	2008	no	15	walk		yes	no	no	yes	yes	5	0	110		no	trakc and field	Gould	front right	Spring08
female	left	brown	yes	yes	july	12	1988	230	64	2010	yes	20	walk	540	yes	yes	yes	yes	yes	9	1	85	168000	yes	Tennis	Ioudina	front left	Spring08
female	left	brown	no	yes	may	5	1987	244	63	2009	no	75	car (by yourself)	240	yes	yes	no	yes	yes	6	0	95	50000	yes	none	Ioudina	rear right	Spring08
female	right	brown	yes	yes	feb	8	1989	223	67	2011	yes	25	walk	350	yes	yes	no	yes	yes	8.5	1	80	40000	no	Dancing	Ioudina	front right	Spring08
male	right	brown	yes	yes	june	20	1988	231	68.5	2010	yes	17	walk	350	yes	yes	yes	yes	yes	5.5	0	97	40000	no	MMA	Ioudina	front right	Spring08
female	right	brown	no	yes	oct	6	1988	228	68	2010	yes	20	walk	53	yes	yes	no	yes	yes	9	0	100	40000	yes	Dance Dance Revolution	Ioudina	front left	Spring08
male	right	green	no	no	april	5	1988	233	75	2010	no	15	walk	94	yes	yes	no	yes	yes	7	0	110	40000	no	golf	Ioudina	front right	Spring08
female	right	brown	no	yes	may	12	1988	232	63	2010	yes	20	walk	400	yes	yes	no	yes	yes	6	0	80	38000	yes	singing	Ioudina	front right	Spring08
male	right	brown	yes	yes	mar	4	1988	235	70	2010	yes	15	walk	780	yes	yes	yes	yes	yes	10	0	105	31000	yes	basketball	Ioudina	front left	Spring08
female	right	brown	no	yes	april	6	1988	233	59	2010	yes	15	walk	800	yes	yes	no	yes	yes	6	1	80	30000	yes	Dance	Ioudina	rear right	Spring08
female	left	blue	yes	yes	feb	1	1988	235	68.5	2010	no	5	walk	500	yes	yes	no	yes	yes	6	1	110	30000	yes	photography	Ioudina	front right	Spring08
female	right	hazel	yes	yes	july	27	1988	232	59	2010	yes	15	walk	2100	yes	no	no	yes	yes	9	0	110	29000	no	tennis	Ioudina	rear right	Spring08
female	right	brown	yes	no	nov	21	1988	226	64	2010	yes	15	walk	450	yes	yes	no	yes	yes	7	0	70	25000	yes	piano	Ioudina	front left	Spring08
female	right	brown	no	yes	nov	11	1987	239	63	2009	yes	20	walk	215	yes	no	no	yes	no	6	0	85	25000	yes	Swimming	Ioudina	rear right	Spring08
male	left	hazel	no	no	dec	13	1986	249	75	2009	no	15	bicycle	500	yes	yes	no	yes	yes	8	5	100	25000	yes	working out	Ioudina	front left	Spring08
female	right	hazel	no	yes	july	28	1988	230	77	2010	yes	30	walk	500	yes	yes	no	yes	yes	4	0	88	22000	yes	going to concerts	Ioudina	front right	Spring08
male	right	other	no	no	nov	20	1984	274	68	2009	no	15	bicycle	40	no	yes	no	yes	yes	7	0	65	20000	yes	shopping	Ioudina	rear right	Spring08
female	right	hazel	no	no	june	16	1987	243	67	2009	yes	30	walk	200	yes	no	no	yes	yes	7	5	90	20000	yes	soccer	Ioudina	rear right	Spring08
female	right	brown	yes	yes	april	25	1988	233	65	2010	yes	20	walk	1000	yes	yes	yes	yes	yes	7	0	100	20000	yes	shopping	Ioudina	rear right	Spring08
female	right	brown	no	yes	mar	12	1987	246	63	2009	yes	25	walk	252	yes	yes	no	yes	no	6	0	100	20000	no	VOLLEYBALL	Ioudina	front left	Spring08
male	right	brown	no	no	may	9	1988	232	71	2010	yes	13	walk	525	yes	no	no	yes	yes	7	1	111	18231	no	PSP Hacking	Ioudina	front right	Spring08
male	right	brown	yes	no	oct	23	1987	239	66	2010	yes	15	walk	3000	yes	yes	no	yes	yes	11	0	95	15000	yes	computer	Ioudina	rear right	Spring08
female	right	brown	yes	yes	mar	12	1988	234	63	2010	yes	15	walk	250	yes	no	no	yes	yes	6	0	110	15000	no	None	Ioudina	rear left	Spring08
male	right	brown	no	yes	oct	6	1980	324	68	2008	no	20	walk	438	yes	yes	no	yes	yes	6	4	115	15000	yes	Snowboarding	Ioudina	front right	Spring08
female	right	hazel	no	yes	oct	17	1988	227	69.5	2010	yes	15	walk	450	yes	yes	no	yes	yes	7	0	80	5000	yes	field hockey	Ioudina	front right	Spring08
male	right	brown	no	no	sept	21	1988	228	72	2010	no	25	walk	2000	yes	no	no	yes	no	8	1	90	5000	yes	Basketball	Ioudina	front right	Spring08
female	right	brown	no	no	mar	24	1988	237	65	2010	yes	15	walk	500	yes	yes	no	yes	yes	8	0	90	50000	yes	scrapbooking	Davis	rear right	Spring08
female	right	green	yes	yes	dec	11	1988	225	70	2010	yes	10	walk	600	yes	no	no	yes	yes	7	0	95	50000	yes	Swimming	Davis	rear left	Spring08
female	right	brown	yes	yes	nov	11	1988	225	64	2010	yes	20	walk	480	yes	yes	no	yes	yes	7	0	80	40000	yes	reading	Davis	front right	Spring08
male	right	brown	no	yes	july	15	1988	288	66	2010	yes	10	walk	300	yes	no	no	yes	no	7	0	85	40000	no	play guitar	Davis	front left	Spring08
female	right	brown	yes	yes	nov	15	1988	227	67	2009	yes	15	walk	327	yes	yes	no	yes	yes	5	0	105	40000	no	Reading	Davis	front left	Spring08
male	right	hazel	yes	no	sept	8	1986	252	68	2009	no	25	walk	300	yes	no	no	yes	yes	4	7	110	33000	no	Soccer	Davis	front left	Spring08
female	right	blue	no	yes	april	16	1988	234	66	2009	yes	20	walk	400	yes	yes	no	yes	yes	7	0	80	30000	yes	shopping	Davis	front left	Spring08
male	right	blue	no	yes	aug	19	1988	230	74	2010	yes	10	walk	890	yes	yes	yes	yes	yes	6	0	80	30000	yes	Backpacking	Davis	front left	Spring08
female	right	green	no	yes	july	18	1986	242	74	2008	no	75	car (by yourself)	110	yes	no	no	yes	yes	6	0.5	95	30000	yes	volleyball	Davis	front right	Spring08
female	right	hazel	no	no	nov	13	1986	251	67	2009	no	10	walk	2000	no	no	no	yes	yes	9	6	110	30000	no	bowling	Davis	rear right	Spring08
male	right	brown	no	yes	jan	30	1989	225	73	2010	yes	15	walk	400	yes	yes	yes	yes	yes	8	0	85	25000	yes	Playing Tennis	Davis	front right	Spring08
female	right	brown	yes	yes	jan	18	1987	248	67	2009	yes	20	walk	540	yes	no	no	yes	yes	7	0	90	25000	yes	shopping	Davis	front left	Spring08
male	right	blue	no	yes	jan	2	1988	237	72	2010	yes	10	walk	432	yes	no	yes	yes	yes	6.5	0	95	25000	no	watching sports	Davis	rear left	Spring08
female	right	brown	no	yes	nov	2	1985	262	62	2008	no	30	walk	225	yes	no	no	yes	yes	5	3	55	18000	no	Blogging	Davis	rear right	Spring08
female	right	brown	yes	yes	july	12	1988	228	63	2010	yes	60	car (by yourself)	772	yes	yes	no	yes	yes	6	0	50	10000	yes	Writing	Davis	rear right	Spring08
female	right	brown	yes	yes	dec	23	1987	225	65	2010	yes	15	walk	600	yes	yes	no	yes	yes	9	0	80	10000	yes	working out	Davis	rear left	Spring08
female	right	blue	yes	yes	mar	9	1988	235	71	2010	yes	15	walk	535	yes	yes	no	yes	yes	8	2	95	10000	yes	dancing	Davis	front right	Spring08
male	right	brown	no	no	nov	20	1987	237	71	2010	yes	90	car (by yourself)	100	yes	yes	yes	yes	yes	6	0	110	10000	yes		Davis	front left	Spring08
female	right	brown	yes	no	dec	25	1985	261	64	2010	no	20	car (by yourself)	0	no	yes	no	yes	yes	5	0	75	5000	no	travel	Davis	rear left	Spring08
female	right	brown	yes	yes	mar	30	1987	246	65	2009	yes	20	walk	850	yes	yes	no	yes	yes	5	0	90	3000	yes	dance	Davis	front left	Spring08
female	right	brown	yes	no	mar	30	1987	246	64	2009	no	20	walk	850	yes	yes	no	yes	yes	5	0	90	3000	yes	Dance	Davis	front left	Spring08
female	right	brown	yes	yes	feb	15	1986	260	64	2008	no	20	bus	125	yes	yes	no	yes	yes	3	4	110	2200	yes	dancing	Davis	rear left	Spring08
female	left	brown	yes	yes	jan	8	1988	236	66	2010	yes	15	walk		yes	yes	no	yes	no	8	0	25	1000	yes	watching movies	Davis	rear left	Spring08
female	right	brown	no	yes	july	27	1986	254	60.2	2008	no	40	carpool	400	yes	yes	no	yes	no	10	9	125	1000	no	Singing	Davis	front right	Spring08
female	left	brown	yes	yes	nov	15	1987	238	60	2009	no	20	walk	400	yes	yes	no	yes	no	7	0	95		yes	listening to vinyl records	Davis	rear right	Spring08
female	right	brown	yes	yes	oct	1	1988	229	64	2010	yes	30	walk	880	yes	yes	no	yes	no	4	0	0	100000	yes	swimming	Esfandiari	rear left	Spring08
female	right	green	yes	yes	feb	8	1988	237	64	2010	yes	20	walk	73	yes	no	no	yes	yes	6	0	65	50000	yes	reading	Esfandiari	rear right	Spring08
female	right	brown	yes	yes	jan	6	1987	237	59	2009	no	5	walk	108	yes	yes	no	yes	no	6	0	89	45000	yes	Listening to Music	Esfandiari	front right	Spring08
male	right	brown	yes	yes	sept	3	1988	228	70	2010	no	140	bus	630	yes	yes	no	yes	yes	7	0	100	45000	yes	Eating	Esfandiari	front right	Spring08
male	right	brown	yes	yes	sept	12	1987	240	71	2010	yes	12	walk	300	yes	no	no	yes	yes	8	0	90	38000	yes	watching youtube	Esfandiari	front right	Spring08
female	right	brown	no	yes	june	6	1986	255	67	2009	no	25	car (by yourself)	375	no	yes	no	yes	yes	5	0	110	35000	yes	Basketball	Esfandiari	front right	Spring08
female	right	brown	yes	yes	june	1	1988	237	65	2010	yes	20	walk	600	yes	no	no	yes	yes	7	2	80	30000	yes	Cooking	Esfandiari	front left	Spring08
male	right	brown	no	yes	mar	28	1988	225	66	2010	yes	15	walk	99	yes	no	no	yes	yes	6	1	85	30000	yes	basketball	Esfandiari	front right	Spring08
female	right	brown	no	no	jan	25	1985	272	63	2007	no	30	car (by yourself)	500	yes	no	no	yes	yes	7	2	90	30000	no	watching movies	Esfandiari	rear right	Spring08
female	right	brown	yes	no	oct	14	1988	227	62	2010	yes	15	walk	120	yes	yes	no	yes	yes	10	0	95	30000	yes	Drawing	Esfandiari	front left	Spring08
male	right	green	yes	yes	nov	11	1987	238	72	2010	yes	15	walk	130	yes	no	no	yes	yes	10	3	85	25000	no	Football	Esfandiari	front left	Spring08
male	right	brown	yes	yes	july	15	1987	243	65	2009	yes	20	walk	833	yes	yes	no	yes	yes	9	1	90	25000	yes	sports	Esfandiari	front left	Spring08
female	right	brown	yes	no	jan	25	1988	236	64	2010	yes	15	walk	100	no	yes	no	yes	no	7	0	60	20000	no	dancing	Esfandiari	rear left	Spring08
female	right	brown	no	yes	april	9	1988	233	60	2010	yes	15	walk	100	yes	yes	no	yes	yes	7	1	87	20000	no	tennis	Esfandiari	front left	Spring08
male	right	brown	yes	yes	jan	8	1988	237	67	2010	yes	20	walk	500	yes	no	no	yes	yes	2	0	100	20000	yes	Tennis	Esfandiari	front right	Spring08
male	right	brown	yes	yes	jan	8	1988	237	67	2010	yes	20	walk	500	yes	no	no	yes	yes	2	0	100	20000	yes	Tennis	Esfandiari	front right	Spring08
male	right	brown	yes	yes	jan	8	1988	237	67	2010	yes	20	walk	500	yes	no	no	yes	yes	2	0	100	20000	yes	Tennis	Esfandiari	front right	Spring08
male	right	blue	yes	yes	oct	14	1985	263	71	2008	no	30	walk	1200	yes	no	no	yes	yes	8	9	100	20000	no	Traveling	Esfandiari	rear right	Spring08
male	right	brown	yes	yes	jan	22	1988	242	72	2010	no	20	walk	100	no	yes	no	yes	yes	7	5	110	20000	yes	poker	Esfandiari	rear right	Spring08
female	left	brown	yes	yes	oct	21	1988	225	65	2010	yes	15	walk	1000	yes	yes	no	yes	yes	8	0	75	16000	yes	traveling	Esfandiari	front left	Spring08
female	right	hazel	yes	no	oct	10	1988	216	64	2010	yes	25	walk	260	yes	yes	no	yes	yes	10	0	50	15000	no	Reading fashion magazines.	Esfandiari	rear right	Spring08
female	right	blue	yes	no	dec	15	1985	262	70	2008	no	20	walk	600	yes	yes	no	yes	yes	10	0	70	15000	yes	painting	Esfandiari	rear right	Spring08
female	right	brown	no	yes	nov	25	1988	216	65	2010	yes	30	walk	600	yes	no	no	yes	no	7	0	75	15000	yes	watching anime	Esfandiari	front left	Spring08
female	left	green	no	yes	april	26	1988	233	66	2010	yes	14	walk	400	yes	yes	no	yes	yes	6	2	95	15000	yes	Singing	Esfandiari	front left	Spring08
male	right	brown	yes	yes	july	23	1988	230	74	2010	yes	20	walk	268	yes	yes	no	yes	yes	8	0	100	15000	yes	Basketball	Esfandiari	rear right	Spring08
female	right	hazel	yes	yes	feb	7	1988	236	65	2010	yes	25	walk	650	yes	no	no	yes	yes	9	0	0	10000	yes	Speaking Swedish	Esfandiari	front left	Spring08
female	right	hazel	yes	yes	may	7	1988	232	65	2010	yes	15	walk	500	yes	no	no	yes	yes	7	5	45	10000	yes	shopping	Esfandiari	front left	Spring08
male	left	brown	no	yes	dec	24	1987	228	70	2010	yes	15	walk	400	yes	no	no	yes	yes	9	0	70	10000	no	acting	Esfandiari	rear left	Spring08
female	right	brown	yes	no	may	11	1988	231	64	2010	no	20	car (by yourself)	450	yes	yes	no	yes	yes	9	2	80	10000	yes	painting	Esfandiari	rear left	Spring08
male	right	green	yes	yes	sept	19	1988	228	74	2010	yes	20	walk	210	yes	yes	yes	yes	yes	9	0	85	10000	yes	basketball	Esfandiari	front left	Spring08
male	right	brown	yes	no	nov	25	1988	226	65	2010	yes	15	walk	150	yes	yes	no	yes	yes	7	2	99	10000	no	football	Esfandiari	rear right	Spring08
female	right	brown	yes	no	may	2	1988	228	65	2010	yes	15	walk	650	yes	yes	no	yes	yes	7	0	100	10000	yes	dancing	Esfandiari	front right	Spring08
male	right	brown	yes	no	sept	23	1987	240	68	2009	no	90	car (by yourself)	750	yes	yes	no	yes	yes	6	1	100	10000	yes	Playing the piano	Esfandiari	front right	Spring08
female	right	brown	yes	yes	aug	2	1988	229	66.5	2010	yes	15	walk	900	yes	yes	no	yes	yes	9	2	100	10000	yes	dancing	Esfandiari	rear left	Spring08
male	right	brown	yes	yes	may	11	1988	232	73	2010	yes	15	walk	600	yes	yes	no	yes	yes	9	1	136	10000	yes	Tennis	Esfandiari	front right	Spring08
female	right	brown	yes	no	nov	11	1988	227	62	2010	yes	20	walk	350	yes	yes	no	yes	yes	7	0	70	8000	yes	shop	Esfandiari	front left	Spring08
female	right	brown	yes	yes	feb	12	1988	242	61	2010	yes	15	walk	320	yes	yes	no	yes	no	6	0	100	5000	yes	Tennis	Esfandiari	rear right	Spring08
male	right	brown	yes	yes	may	16	1988	232	70	2010	no	35	car (by yourself)	290	yes	no	no	yes	yes	5	15	135	5000	no	Racing/Drifting	Esfandiari	rear right	Spring08
female	right	brown	no	yes	may	30	1988	233	62	2010	yes	10	walk	650	yes	yes	no	yes	yes	8	0	95	4000	no	run	Esfandiari	front right	Spring08
female	right	brown	yes	yes	jan	25	1985	272	63.8	2007	no	30	car (by yourself)	800	yes	yes	no	yes	yes	10	1	100	4000	no	going to the beach	Esfandiari	rear left	Spring08
male	left	brown	yes	yes	aug	22	1988	229	68	2010	no	15	walk	700	yes	yes	no	yes	yes	8	0	100	3500	no	Hanging out	Esfandiari	front left	Spring08
female	right	brown	yes	no	aug	26	1988	229	60	2010	yes	20	walk	1200	no	yes	no	yes	yes	9	0	83	3000	yes	dance	Esfandiari	front right	Spring08
female	left	brown	no	yes	oct	9	1988	228	67	2010	yes	15	walk	544	yes	yes	no	yes	yes	10	0	113	3000	yes	Working Out	Esfandiari	rear left	Spring08
female	right	brown	no	no	june	11	1988	231	60	2010	yes	20	walk	800	yes	no	no	yes	yes	11	2	100	1500	yes	spoken word	Esfandiari	rear right	Spring08
female	right	brown	yes	no	oct	3	1988	225	67	2010	yes	13	walk	160	yes	yes	no	yes	no	6	3	70		yes	Cooking	Esfandiari	rear right	Spring08
female	right	brown	yes	yes	sept	16	1988	249	64	2010	yes	15	walk	550	yes	yes	no	yes	no	5	0	90		yes	tennis	Esfandiari	front right	Spring08
female	right	brown	yes	no	june		1988	238	64	2010	yes	20	walk	454	yes	yes	no	yes	yes	8	0			yes	photography	Esfandiari	front left	Spring08
female	right	blue	no	no	sept	24	1988	228	66	2011	yes	30	walk	500	no	no	no	yes	yes	4	4	80	40000	yes	dance	Gould	front left	Spring08
female	right	blue	no	yes	feb	21	1989	223	62	2011	yes	20	walk	653	yes	yes	no	yes	yes	6	7	90	40000	yes	going to the beach	Gould	front right	Spring08
female	right	brown	yes	yes	sept	29	1987	240	62	2010	yes	15	walk	580	yes	no	yes	yes	yes	7	0	95	40000	yes	reading	Gould	rear right	Spring08
female	right	hazel	yes	no	july	1	1986	252	64	2008	no	30	walk	700	yes	no	no	yes	yes	8	0	100	40000	no	working out	Gould	front left	Spring08
female	right	brown	yes	no	dec	5	1987	237	64	2010	yes	15	walk	2500	no	yes	no	yes	no	6	0	85	35000	yes	read	Gould	rear left	Spring08
female	right	blue	yes	yes	july	31	1989	218	66	2011	yes	10	walk	183	yes	yes	no	yes	yes	5	0	110	34000	yes	Horseback Riding	Gould	front right	Spring08
male	right	other	yes	no	oct	10	1988	228	71	2010	yes	20	walk	850	yes	yes	no	yes	yes	8	0	80	30000	yes	tennis	Gould	front right	Spring08
female	right	hazel	no	yes	nov	30	1987	238	67	2009	no	15	walk	500	yes	yes	no	yes	yes	6	1	100	30000	yes	pilates	Gould	front right	Spring08
female	right	brown	yes	yes	feb	29	1988	235	65	2010	no	25	walk	500	yes	no	no	yes	yes	7	0	110	30000	yes	basketball	Gould	front right	Spring08
female	right	blue	yes	yes	july	20	1988	230	72	2010	yes	20	walk	320	yes	no	no	yes	yes	8	4	70	28000	yes	cooking	Gould	front left	Spring08
male	right	hazel	yes	yes	oct	18	1985	264	63	2008	no	5	bicycle	130	no	yes	no	yes	no	9	0	95	25000	yes	meditating	Gould	front right	Spring08
female	right	brown	yes	yes	dec	9	1989	214	65	2011	yes	15	walk	75	yes	yes	no	yes	yes	8	3	95	25000	yes	swimming	Gould	rear left	Spring08
female	right	brown	yes	no	jan	12	1987	248	63	2009	no	15	walk	300	yes	yes	no	yes	yes	6	5	105	25000	yes	Traveling	Gould	front left	Spring08
male	right	brown	yes	no	jan	16	1985	272	69	2009	no	30	walk	20	no	no	no	yes	yes	7	2		20000	yes	Playing Soccer, or the Violins	Gould	rear left	Spring08
female	right	brown	no	yes	april	27	1988	233	62	2010	yes	15	walk	800	yes	yes	no	yes	no	5	0	90	20000	yes	tennis	Gould	front left	Spring08
male	ambidextrous	amber	no	no	nov	18	1987	240	74	2009	yes	5	walk	500	no	yes	no	yes	no	6	3	100	20000	yes	screenwriting	Gould	front right	Spring08
female	right	brown	yes	yes	june	6	1987	244	67	2009	no	25	walk	70	yes	yes	no	yes	no	7.5	10	115	20000	yes	Watching movies	Gould	front left	Spring08
female	right	brown	yes	no	dec	12	1989	214	64	2010	yes	25	walk	330	no	yes	no	yes	no	8	0	80	15000	yes	listening to music	Gould	front left	Spring08
female	right	blue	yes	yes	jan	20	1988	228	70	2010	yes	15	walk	350	yes	no	no	yes	yes	8	6	100	15000	yes	basketball	Gould	front left	Spring08
female	right	green	no	yes	may	7	1989	220	70	2011	yes	10	walk	1000	yes	yes	no	yes	yes	7	0	95	11000	yes	Rowing	Gould	rear right	Spring08
male	right	green	yes	yes	jan	31	1989	225	71	2011	no	90	car (by yourself)	700	yes	yes	no	yes	yes	9	0	75	10000	yes	Playing the viola	Gould	front right	Spring08
female	right	blue	no	no	oct	9	1989	215	66	2011	yes	15	walk	572	yes	yes	no	yes	yes	6	2	90	10000	yes	yoga	Gould	rear left	Spring08
male	left	brown	yes	yes	nov	29	1986	250	67	2008	no	25	car (by yourself)	250	yes	yes	yes	yes	yes	10	0	90	8000	yes	Video Games	Gould	front left	Spring08
female	right	green	yes	yes	jan	17	1988	236	67		yes	20	walk	225	yes	no	no	yes	yes	8	0	60	2000	yes	going out with friends	Gould	front left	Spring08
female	right	brown	yes	no	aug	1	1987	241	61	2010	yes	20	walk	60	yes	yes	yes	yes	yes	6	0	100	140000	yes	Dance	Ioudina	front right	Spring08
male	left	blue	yes	no	july	11	1988	230	66	2010	yes	15	walk	305	no	no	no	yes	yes	7.5	15	100	60000	yes	Swimming	Ioudina	front right	Spring08
female	right	green	no	no	may	28	1988	232	64	2010	yes	15	walk	135	no	no	no	yes	yes	8	2	90	40000	yes	dancing	Ioudina	rear left	Spring08
male	right	brown	yes	no	jan	27	1988	236	71	2010	no	15	skateboard	18	yes	yes	no	yes	yes	6	35	100	40000	yes	Playing bass	Ioudina	front right	Spring08
male	right	hazel	yes	yes	july	7	1988	236	73	2010	yes	7	skateboard	180	yes	no	no	yes	yes	10	6	110	40000	yes	Halo 3	Ioudina	rear right	Spring08
female	right	brown	yes	no	april	23	1988	228	63	2010	yes	20	walk	330	yes	yes	yes	yes	yes	9	0	100	30000	yes	cycling	Ioudina	rear right	Spring08
female	right	blue	yes	no	may	14	1988	232	66	2010	yes	20	walk	93	yes	no	yes	yes	yes	8	10	100	30000	no	horseback riding	Ioudina	rear right	Spring08
female	right	brown	yes	yes	june	11	1988	238	60	2011	yes	30	walk	400	yes	no	no	yes	yes	8	0	0	25000	yes	drawing	Ioudina	front right	Spring08
female	right	brown	no	yes	may	27	1987	244	65	2009	no	25	walk	700	yes	yes	no	yes	yes	9	0	95	25000	no	soccer	Ioudina	front right	Spring08
male	right	brown	yes	no	may	20	1988	233	70	2010	yes	15	walk	610	yes	yes	yes	yes	yes	8	0	110	25000	yes	Football	Ioudina	rear right	Spring08
male	right	brown	yes	yes	dec	20	1988	216	67	2010	no	60	car (by yourself)	900	yes	no	yes	yes	yes	5	0	115	25000	yes	Dancing	Ioudina	front left	Spring08
female	right	brown	yes	yes	may	31	1988	232	62	2010	yes	15	walk	500	yes	yes	no	yes	yes	7	0	65	20000	yes	Chinese Macrame	Ioudina	rear right	Spring08
male	right	hazel	no	yes	may	1	1988	228	75	2010	no	30	walk	120	yes	yes	no	yes	yes	8	1	90	20000	no	playing guitar	Ioudina	front right	Spring08
female	right	brown	yes	yes	sept	30	1988	228	62	2010	yes	15	walk	650	yes	yes	no	yes	no	7	4	95	20000	no	going out with friends	Ioudina	front right	Spring08
male	right	brown	yes	no	april	7	1988	233	72	2011	yes	14	walk	520	yes	yes	yes	yes	yes	5	0	90	18000	yes	Music	Ioudina	front left	Spring08
female	right	hazel	no	yes	dec	18	1987	237	66	2010	yes	20	walk	165	yes	no	yes	yes	yes	9	1	85	15000	yes	gym	Ioudina	front left	Spring08
male	right	hazel	yes	no	mar	19	1988	234		2010	yes	20	walk	300	yes	no	no	yes	yes	6	0	85	12000	yes	Playing musical instruments	Ioudina	front right	Spring08
female	right	brown	yes	no	aug	4	1989	220	67	2011	yes	10	walk	500	yes	yes	no	yes	yes	8	2	50	10000	no	going to the beach	Ioudina	front right	Spring08
female	right	brown	yes	yes	feb	18	1988	235	63	2010	yes	15	walk	3000	yes	yes	no	yes	no	5	0	65	10000	no	volleyball	Ioudina	front right	Spring08
female	right	brown	no	yes	feb	18	1988	235	64	2010	yes	30	walk	401	yes	yes	no	yes	yes	9	5	100	9000	yes	Dance	Ioudina	front right	Spring08
female	right	brown	yes	yes	july	16	1988	230	62	2010	yes	15	walk	2000	yes	yes	yes	yes	yes	8	0	80		yes	tennis	Ioudina	front right	Spring08
