"","ESTU_GENERO","FAMI_ESTRATOVIVIENDA","FAMI_PERSONASHOGAR","FAMI_CUARTOSHOGAR","FAMI_TIENEINTERNET","FAMI_NUMLIBROS","ESTU_DEDICACIONINTERNET","ESTU_DEDICACIONLECTURADIARIA","COLE_NATURALEZA","COLE_GENERO","COLE_AREA_UBICACION","PUNT_LECTURA_CRITICA","PUNT_MATEMATICAS","PUNT_C_NATURALES","PUNT_INGLES","PUNT_GLOBAL"
"1","M","Estrato 1","1 a 2","Dos","No","MÁS DE 100 LIBROS","No Navega Internet","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",49,34,44,36,205
"2","F","Estrato 1","5 a 6","Cuatro","Si","26 A 100 LIBROS","Entre 1 y 3 horas","Más de 2 horas","NO OFICIAL","MIXTO","URBANO",63,61,63,60,313
"3","F","Estrato 1","3 a 4","Tres","Si","0 A 10 LIBROS","30 minutos o menos","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",51,46,43,42,231
"4","M","Estrato 1","5 a 6","Tres","Si","11 A 25 LIBROS","Más de 3 horas","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",61,61,62,70,304
"5","F","Estrato 1","3 a 4","Dos","Si","11 A 25 LIBROS","Más de 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",71,62,66,60,332
"6","M","Estrato 1","5 a 6","Cuatro","Si","0 A 10 LIBROS","Entre 30 y 60 minutos","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",38,47,37,30,203
"7","F","Estrato 1","3 a 4","Tres","Si","11 A 25 LIBROS","Entre 30 y 60 minutos","Entre 1 y 2 horas","NO OFICIAL","MIXTO","URBANO",52,46,47,50,242
"8","M","Estrato 1","3 a 4","Dos","Si","26 A 100 LIBROS","30 minutos o menos","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",43,36,44,42,201
"9","M","Estrato 1","3 a 4","Dos","Si","26 A 100 LIBROS","Entre 30 y 60 minutos","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","RURAL",75,76,77,68,375
"10","F","Estrato 1","3 a 4","Tres","Si","26 A 100 LIBROS","Más de 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",76,62,56,61,327
"11","F","Estrato 1","3 a 4","Tres","Si","11 A 25 LIBROS","Más de 3 horas","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",45,27,37,35,182
"12","F","Estrato 1","3 a 4","Tres","Si","0 A 10 LIBROS","30 minutos o menos","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",58,60,61,55,293
"13","F","Estrato 1","5 a 6","Dos","Si","0 A 10 LIBROS","30 minutos o menos","Entre 1 y 2 horas","NO OFICIAL","MIXTO","URBANO",62,62,59,62,295
"14","M","Estrato 1","5 a 6","Tres","No","0 A 10 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",45,32,38,38,188
"15","M","Estrato 1","3 a 4","Cuatro","Si","0 A 10 LIBROS","Entre 30 y 60 minutos","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",60,61,63,70,303
"16","F","Estrato 1","5 a 6","Tres","Si","11 A 25 LIBROS","Entre 30 y 60 minutos","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",76,79,72,76,373
"17","F","Estrato 1","3 a 4","Dos","Si","11 A 25 LIBROS","Entre 30 y 60 minutos","Entre 1 y 2 horas","NO OFICIAL","MIXTO","RURAL",63,54,51,56,271
"18","M","Estrato 1","1 a 2","Dos","Si","MÁS DE 100 LIBROS","Más de 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",69,65,68,64,334
"19","M","Estrato 1","5 a 6","Cinco","Si","MÁS DE 100 LIBROS","Más de 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",63,67,67,76,330
"20","M","Estrato 1","3 a 4","Dos","Si","0 A 10 LIBROS","30 minutos o menos","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",64,50,67,56,302
"21","F","Estrato 1","5 a 6","Tres","Si","11 A 25 LIBROS",NA,"Entre 1 y 2 horas","NO OFICIAL","MIXTO","URBANO",42,30,29,33,165
"22","F","Estrato 1","3 a 4","Dos","Si","11 A 25 LIBROS","Entre 30 y 60 minutos","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",57,72,61,66,323
"23","M","Estrato 1","3 a 4","Cuatro","Si","MÁS DE 100 LIBROS","Entre 30 y 60 minutos","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",65,52,59,62,302
"24","F","Estrato 1","3 a 4","Tres","Si","0 A 10 LIBROS","No Navega Internet","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",74,79,73,80,373
"25","F","Estrato 1","3 a 4","Tres","Si","11 A 25 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",48,50,56,52,252
"26","F","Estrato 1","7 a 8","Cuatro","Si","0 A 10 LIBROS","30 minutos o menos","Entre 1 y 2 horas","NO OFICIAL","MIXTO","URBANO",53,50,57,70,280
"27","F","Estrato 1","5 a 6","Tres","Si","MÁS DE 100 LIBROS","Entre 30 y 60 minutos","Entre 1 y 2 horas","NO OFICIAL","MIXTO","URBANO",58,50,54,67,281
"28","M","Estrato 1","5 a 6","Cuatro","Si","26 A 100 LIBROS","Entre 30 y 60 minutos","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",57,44,53,45,252
"29","M","Estrato 1","5 a 6","Tres","No","0 A 10 LIBROS","No Navega Internet","Más de 2 horas","NO OFICIAL","MIXTO","RURAL",76,72,100,82,413
"30","M","Estrato 1","3 a 4","Dos","Si","11 A 25 LIBROS","30 minutos o menos","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",58,53,58,39,268
"31","M","Estrato 1","3 a 4","Tres","Si","11 A 25 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","RURAL",63,76,65,73,343
"32","M","Estrato 1","5 a 6","Cuatro","Si","MÁS DE 100 LIBROS","Más de 3 horas","Entre 1 y 2 horas","NO OFICIAL","MIXTO","URBANO",82,78,78,76,393
"33","M","Estrato 1","5 a 6","Cuatro","Si","0 A 10 LIBROS","Entre 30 y 60 minutos","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",44,24,33,30,168
"34","M","Estrato 1","3 a 4","Tres","Si","26 A 100 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",53,56,55,50,267
"35","M","Estrato 1","5 a 6","Tres","No","26 A 100 LIBROS","30 minutos o menos","Más de 2 horas","NO OFICIAL","MIXTO","URBANO",70,56,59,54,306
"36","M","Estrato 1","1 a 2","Dos","Si","26 A 100 LIBROS","Más de 3 horas","Entre 1 y 2 horas","NO OFICIAL","MIXTO","URBANO",61,53,52,71,288
"37","M","Estrato 1","5 a 6","Dos","Si","26 A 100 LIBROS","Entre 30 y 60 minutos","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",69,72,59,50,341
"38","F","Estrato 1","7 a 8","Cinco","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",56,77,66,100,320
"39","F","Estrato 1","1 a 2","Tres","Si","0 A 10 LIBROS","Entre 30 y 60 minutos","30 minutos o menos","NO OFICIAL","MIXTO","RURAL",64,73,62,77,327
"40","F","Estrato 1","3 a 4","Dos","No","26 A 100 LIBROS","Entre 1 y 3 horas","Entre 1 y 2 horas","NO OFICIAL","MIXTO","URBANO",55,49,58,58,268
"41","M","Estrato 1","1 a 2","Uno","Si","26 A 100 LIBROS","Más de 3 horas","Más de 2 horas","NO OFICIAL","MIXTO","URBANO",57,68,68,74,342
"42","M","Estrato 2","3 a 4","Dos","Si","26 A 100 LIBROS","30 minutos o menos","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",55,51,55,43,267
"43","M","Estrato 2","5 a 6","Tres","Si","11 A 25 LIBROS","Más de 3 horas","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",57,58,57,63,294
"44","M","Estrato 2","5 a 6","Tres","Si","26 A 100 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",78,73,74,83,375
"45","F","Estrato 2","3 a 4","Dos","Si","11 A 25 LIBROS","Más de 3 horas","Más de 2 horas","NO OFICIAL","MIXTO","URBANO",65,68,65,74,325
"46","M","Estrato 2","3 a 4","Tres","Si","26 A 100 LIBROS","Más de 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",73,69,64,67,335
"47","M","Estrato 2","5 a 6","Cuatro","Si","26 A 100 LIBROS","Más de 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",76,70,68,66,357
"48","M","Estrato 2","1 a 2","Dos","Si","11 A 25 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MASCULINO","URBANO",66,78,68,65,342
"49","M","Estrato 2","3 a 4","Cuatro","No","26 A 100 LIBROS","Entre 1 y 3 horas","Entre 1 y 2 horas","NO OFICIAL","MIXTO","URBANO",62,57,62,60,294
"50","F","Estrato 2","3 a 4","Dos","Si","0 A 10 LIBROS","Más de 3 horas","No leo por entretenimiento","NO OFICIAL","FEMENINO","URBANO",50,53,55,56,267
"51","F","Estrato 2","3 a 4","Dos","Si","0 A 10 LIBROS","Entre 30 y 60 minutos","30 minutos o menos","NO OFICIAL","MIXTO","RURAL",69,58,55,62,311
"52","F","Estrato 2","5 a 6","Cinco","No","26 A 100 LIBROS","Más de 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",50,44,46,52,230
"53","M","Estrato 2","3 a 4","Tres","Si","26 A 100 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",62,57,62,63,303
"54","F","Estrato 2","5 a 6","Dos","Si","0 A 10 LIBROS","Más de 3 horas","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",42,39,46,29,205
"55","F","Estrato 2","3 a 4","Dos","Si","11 A 25 LIBROS","30 minutos o menos","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",51,44,51,48,249
"56","M","Estrato 2","1 a 2","Dos","Si","11 A 25 LIBROS","Más de 3 horas","Entre 1 y 2 horas","NO OFICIAL","MIXTO","URBANO",33,33,46,51,188
"57","M","Estrato 2","1 a 2","Cuatro","Si","11 A 25 LIBROS","Entre 1 y 3 horas","Más de 2 horas","NO OFICIAL","MIXTO","URBANO",58,54,56,62,282
"58","F","Estrato 2","3 a 4","Tres","Si","11 A 25 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","RURAL",70,57,63,68,317
"59","F","Estrato 2","5 a 6","Dos","Si","11 A 25 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",51,59,48,70,267
"60","F","Estrato 2","5 a 6","Tres","Si","26 A 100 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",66,70,67,65,339
"61","M","Estrato 2","1 a 2","Dos","No","26 A 100 LIBROS",NA,"30 minutos o menos","NO OFICIAL","MIXTO","URBANO",56,51,47,55,255
"62","M","Estrato 2","7 a 8","Tres","Si","11 A 25 LIBROS","Más de 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",55,51,57,57,271
"63","F","Estrato 2","3 a 4","Dos","Si","11 A 25 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",63,51,65,61,306
"64","M","Estrato 2","3 a 4","Dos","Si","0 A 10 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",62,60,53,43,288
"65","M","Estrato 2","5 a 6","Tres","Si","26 A 100 LIBROS","Más de 3 horas","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",71,59,72,51,328
"66","M","Estrato 2","7 a 8","Cinco","Si","11 A 25 LIBROS","Más de 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",60,56,69,73,311
"67","F","Estrato 2","5 a 6","Dos","No","11 A 25 LIBROS","Entre 30 y 60 minutos","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",53,38,52,53,237
"68","F","Estrato 2","3 a 4","Dos","Si","0 A 10 LIBROS","30 minutos o menos","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",62,54,46,56,259
"69","F","Estrato 2","3 a 4","Dos","Si","11 A 25 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",72,72,67,65,352
"70","M","Estrato 2","3 a 4","Dos","No","11 A 25 LIBROS","No Navega Internet","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",59,64,57,48,295
"71","F","Estrato 2","1 a 2","Dos","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",71,67,65,90,360
"72","M","Estrato 2","3 a 4","Tres","No","0 A 10 LIBROS","Entre 30 y 60 minutos","Entre 1 y 2 horas","NO OFICIAL","MIXTO","URBANO",42,38,32,44,185
"73","F","Estrato 2","3 a 4","Tres","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","Entre 1 y 2 horas","NO OFICIAL","MIXTO","URBANO",61,59,59,54,283
"74","F","Estrato 2","5 a 6","Dos","Si","11 A 25 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","RURAL",58,41,46,44,233
"75","F","Estrato 2","1 a 2","Dos","Si","26 A 100 LIBROS","Entre 1 y 3 horas","Entre 1 y 2 horas","NO OFICIAL","MIXTO","URBANO",61,52,51,53,279
"76","M","Estrato 2","5 a 6","Cuatro","Si","26 A 100 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",71,64,61,57,328
"77","F","Estrato 2","3 a 4","Tres","Si","11 A 25 LIBROS","Entre 30 y 60 minutos","Entre 1 y 2 horas","NO OFICIAL","MIXTO","URBANO",74,77,73,57,363
"78","F","Estrato 2","1 a 2","Dos","No","11 A 25 LIBROS","30 minutos o menos","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",57,48,38,41,233
"79","F","Estrato 2","1 a 2","Dos","No","0 A 10 LIBROS","30 minutos o menos","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",68,76,74,74,364
"80","M","Estrato 2","3 a 4","Dos","No","11 A 25 LIBROS","Más de 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",66,73,74,66,351
"81","F","Estrato 2","3 a 4","Dos","Si","11 A 25 LIBROS","Más de 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",63,69,66,57,332
"82","M","Estrato 2","3 a 4","Tres","Si","MÁS DE 100 LIBROS","Entre 30 y 60 minutos","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",54,62,55,60,286
"83","F","Estrato 2","1 a 2","Uno","Si","26 A 100 LIBROS","Más de 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",65,66,59,57,307
"84","M","Estrato 2","3 a 4","Cuatro","Si","26 A 100 LIBROS","Entre 30 y 60 minutos","Entre 1 y 2 horas","NO OFICIAL","MIXTO","URBANO",69,69,64,48,324
"85","M","Estrato 2","3 a 4","Tres","No","26 A 100 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",51,54,59,65,283
"86","F","Estrato 2","3 a 4","Tres","Si","MÁS DE 100 LIBROS","Entre 30 y 60 minutos","Más de 2 horas","NO OFICIAL","MIXTO","URBANO",57,50,50,51,260
"87","F","Estrato 2","3 a 4","Dos","Si","MÁS DE 100 LIBROS","Más de 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",66,75,73,86,358
"88","F","Estrato 2","5 a 6","Cuatro","Si","26 A 100 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",75,73,71,74,364
"89","F","Estrato 2","3 a 4","Tres","Si","26 A 100 LIBROS","30 minutos o menos","Entre 1 y 2 horas","NO OFICIAL","MIXTO","URBANO",49,46,47,47,225
"90","F","Estrato 2","3 a 4","Cinco","Si","26 A 100 LIBROS","Entre 1 y 3 horas","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",60,61,57,58,298
"91","F","Estrato 2","3 a 4","Tres","Si","11 A 25 LIBROS","Entre 30 y 60 minutos","Entre 1 y 2 horas","NO OFICIAL","MIXTO","URBANO",56,46,53,61,251
"92","M","Estrato 2","7 a 8","Cinco","Si","11 A 25 LIBROS","Más de 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",64,68,64,58,323
"93","F","Estrato 2","1 a 2","Dos","Si","0 A 10 LIBROS","Más de 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",76,69,62,64,351
"94","F","Estrato 2","3 a 4","Tres","Si","26 A 100 LIBROS","Más de 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",59,33,49,35,241
"95","F","Estrato 2","1 a 2","Dos","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",49,42,51,61,236
"96","F","Estrato 2","9 o más","Cinco","Si","0 A 10 LIBROS","Más de 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",59,57,65,57,297
"97","F","Estrato 2","5 a 6","Tres","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","RURAL",59,75,69,74,347
"98","F","Estrato 2","3 a 4","Tres","Si","0 A 10 LIBROS","Más de 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",53,57,47,40,246
"99","M","Estrato 2","5 a 6","Cinco","Si","26 A 100 LIBROS","Entre 30 y 60 minutos","Entre 1 y 2 horas","NO OFICIAL","MASCULINO","URBANO",73,76,69,70,362
"100","M","Estrato 2","1 a 2","Dos","Si","26 A 100 LIBROS","Entre 30 y 60 minutos","Entre 1 y 2 horas","NO OFICIAL","MIXTO","URBANO",61,63,67,72,323
"101","F","Estrato 2","3 a 4","Dos","Si","26 A 100 LIBROS","Entre 30 y 60 minutos","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",67,80,75,72,361
"102","F","Estrato 2",NA,"Tres","Si","26 A 100 LIBROS","Más de 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",62,51,55,50,274
"103","M","Estrato 2","3 a 4","Tres","Si","26 A 100 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",72,68,66,75,352
"104","F","Estrato 2","3 a 4","Dos","Si","0 A 10 LIBROS","Más de 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",71,65,63,60,331
"105","F","Estrato 2","3 a 4","Tres","Si","0 A 10 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",65,52,56,49,287
"106","F","Estrato 2","5 a 6","Tres","Si","0 A 10 LIBROS","Entre 30 y 60 minutos","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",55,58,50,83,282
"107","F","Estrato 2","5 a 6","Cuatro","Si","26 A 100 LIBROS","Entre 1 y 3 horas","Entre 1 y 2 horas","NO OFICIAL","FEMENINO","URBANO",53,46,42,52,235
"108","M","Estrato 2","3 a 4","Tres","Si","0 A 10 LIBROS","Más de 3 horas","Entre 1 y 2 horas","NO OFICIAL","MIXTO","URBANO",72,69,71,81,365
"109","F","Estrato 2","3 a 4","Tres","Si","0 A 10 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",64,52,61,58,293
"110","M","Estrato 2","5 a 6","Cuatro","Si","0 A 10 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",57,47,55,46,267
"111","M","Estrato 2","3 a 4","Dos","No","11 A 25 LIBROS","30 minutos o menos","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",45,72,61,61,288
"112","F","Estrato 2","3 a 4","Tres","Si","26 A 100 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",64,64,57,59,308
"113","M","Estrato 2","5 a 6","Tres","Si","0 A 10 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",76,83,71,59,371
"114","M","Estrato 2","3 a 4","Dos","Si","0 A 10 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",65,59,56,51,301
"115","F","Estrato 2","5 a 6","Tres","Si","26 A 100 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",62,56,48,67,287
"116","M","Estrato 2","3 a 4","Dos","No","11 A 25 LIBROS",NA,"No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",53,40,40,37,215
"117","F","Estrato 2","3 a 4","Tres","Si","11 A 25 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",54,51,58,52,275
"118","F","Estrato 2","3 a 4","Tres","Si","26 A 100 LIBROS","Más de 3 horas","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",36,41,43,50,207
"119","M","Estrato 2","3 a 4","Tres","Si","11 A 25 LIBROS","Más de 3 horas","Entre 1 y 2 horas","NO OFICIAL","MIXTO","URBANO",62,51,62,63,298
"120","F","Estrato 2","3 a 4","Dos","Si","MÁS DE 100 LIBROS","Más de 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",64,65,54,70,304
"121","M","Estrato 2","7 a 8","Cinco","Si","11 A 25 LIBROS","Más de 3 horas","Más de 2 horas","NO OFICIAL","MIXTO","URBANO",49,36,39,33,210
"122","M","Estrato 2","7 a 8","Cuatro","Si","11 A 25 LIBROS","Más de 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",68,60,66,69,315
"123","F","Estrato 2","9 o más","Seis o mas","Si","26 A 100 LIBROS","Más de 3 horas","Entre 1 y 2 horas","NO OFICIAL","MIXTO","URBANO",52,49,45,39,226
"124","M","Estrato 2","3 a 4","Dos","Si","26 A 100 LIBROS","30 minutos o menos","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",63,52,50,62,274
"125","M","Estrato 2","5 a 6","Cuatro","Si","MÁS DE 100 LIBROS","Más de 3 horas","Más de 2 horas","NO OFICIAL","MIXTO","RURAL",68,66,68,62,341
"126","F","Estrato 2","3 a 4","Tres","Si","26 A 100 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",58,45,57,56,263
"127","M","Estrato 2",NA,"Tres","No","26 A 100 LIBROS","Más de 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","RURAL",66,49,57,69,298
"128","M","Estrato 2","3 a 4","Tres","No","11 A 25 LIBROS","30 minutos o menos","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",41,28,46,45,198
"129","M","Estrato 2","3 a 4","Tres","Si","0 A 10 LIBROS","Entre 30 y 60 minutos","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",42,36,38,50,198
"130","M","Estrato 2",NA,NA,"Si","0 A 10 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",59,59,53,46,277
"131","F","Estrato 2","3 a 4","Dos","Si","11 A 25 LIBROS","Entre 30 y 60 minutos","Más de 2 horas","NO OFICIAL","MIXTO","URBANO",63,56,53,55,278
"132","F","Estrato 2","9 o más","Seis o mas","Si","26 A 100 LIBROS","Más de 3 horas","Entre 1 y 2 horas","NO OFICIAL","MIXTO","URBANO",72,56,64,49,320
"133","M","Estrato 2","5 a 6","Cuatro","Si","0 A 10 LIBROS","Entre 1 y 3 horas","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",48,40,41,45,213
"134","M","Estrato 2","5 a 6","Cuatro","Si","0 A 10 LIBROS","30 minutos o menos","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",65,62,55,53,304
"135","F","Estrato 2","3 a 4","Tres","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",64,60,58,54,298
"136","F","Estrato 2","3 a 4","Tres","Si","26 A 100 LIBROS","Entre 1 y 3 horas","Entre 1 y 2 horas","NO OFICIAL","MIXTO","URBANO",70,71,69,77,349
"137","F","Estrato 2","5 a 6","Tres","Si","0 A 10 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",61,57,55,64,284
"138","M","Estrato 2","5 a 6","Seis o mas","Si","0 A 10 LIBROS","Más de 3 horas","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",66,66,62,67,327
"139","M","Estrato 2","9 o más","Tres","Si","MÁS DE 100 LIBROS","Entre 30 y 60 minutos","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",54,49,48,44,227
"140","F","Estrato 2","1 a 2","Uno","Si","26 A 100 LIBROS","Entre 30 y 60 minutos","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",63,45,55,57,272
"141","F","Estrato 2","3 a 4","Tres","Si","11 A 25 LIBROS","Más de 3 horas","30 minutos o menos","NO OFICIAL","FEMENINO","URBANO",63,64,64,63,301
"142","F","Estrato 2","3 a 4","Dos","Si","11 A 25 LIBROS","Más de 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",67,59,62,58,308
"143","F","Estrato 2","5 a 6","Dos","Si","26 A 100 LIBROS","Más de 3 horas","Entre 30 y 60 minutos","NO OFICIAL","FEMENINO","URBANO",65,70,66,68,331
"144","F","Estrato 2","3 a 4","Tres","Si","0 A 10 LIBROS","Entre 30 y 60 minutos","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",46,45,46,57,225
"145","M","Estrato 2","3 a 4","Dos","Si","0 A 10 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",58,63,63,63,310
"146","M","Estrato 2","3 a 4","Tres","Si","26 A 100 LIBROS","Entre 1 y 3 horas","No leo por entretenimiento","NO OFICIAL","MIXTO","RURAL",68,81,63,82,359
"147","F","Estrato 2","9 o más","Cinco","Si","11 A 25 LIBROS","Entre 1 y 3 horas","Entre 1 y 2 horas","NO OFICIAL","MIXTO","URBANO",65,67,68,67,333
"148","F","Estrato 2","5 a 6","Cuatro","Si","11 A 25 LIBROS","Más de 3 horas","Entre 1 y 2 horas","NO OFICIAL","MIXTO","URBANO",61,49,48,56,258
"149","F","Estrato 2","3 a 4","Tres","Si","26 A 100 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",70,55,59,75,317
"150","F","Estrato 2","3 a 4","Tres","Si","0 A 10 LIBROS","Entre 30 y 60 minutos","30 minutos o menos","NO OFICIAL","FEMENINO","URBANO",65,67,65,66,337
"151","F","Estrato 2","3 a 4","Dos","Si","11 A 25 LIBROS","Más de 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",66,61,61,47,298
"152","F","Estrato 2","5 a 6","Tres","No","11 A 25 LIBROS","30 minutos o menos","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",41,48,41,54,220
